="";="(1)";="(2)";="(3)";="(4)"
="Pensions";="0.632";="1.217***";="0.521";="0.018"
="";="(0.472)";="(0.487)";="(0.437)";="(0.017)"
="Bandwidth";="7.16";="8.97";="9.72";="8.71"
="Mean (age < 0)";="0.68";="2.84";="2.43";="0.00"
="Mean (age > 0)";="0.87";="2.96";="2.64";="0.00"
="Observations";="9,357";="9,357";="9,357";="9,357"
="* p<0.10, ** p<0.05, *** p<0.01"
="Pensions";="0.104";="0.196**";="0.037";="0.005"
="";="(0.111)";="(0.102)";="(0.110)";="(0.005)"
="Bandwidth";="7.38";="7.85";="7.81";="6.35"
="Mean (age < 0)";="0.19";="0.82";="0.78";="0.00"
="Mean (age > 0)";="0.22";="0.83";="0.80";="0.00"
="Observations";="9,357";="9,357";="9,357";="9,357"
="* p<0.10, ** p<0.05, *** p<0.01"
