="";="(1)";="(2)";="(3)";="(4)";="(5)"
="Pensions";="0.533***";="0.367**";="0.165";="0.151";="0.571***"
="";="(0.215)";="(0.208)";="(0.249)";="(0.371)";="(0.248)"
="Bandwidth";="10.25";="10.11";="9.76";="9.80";="8.64"
="Mean (age < 0)";="6.59";="6.46";="5.20";="3.44";="5.87"
="Mean (age > 0)";="6.97";="6.65";="5.23";="3.76";="6.09"
="Observations";="9,357";="9,357";="9,357";="9,357";="9,357"
="* p<0.10, ** p<0.05, *** p<0.01"
="Pensions";="0.534***";="0.367**";="0.164";="0.158";="0.573***"
="";="(0.216)";="(0.208)";="(0.253)";="(0.403)";="(0.249)"
="Bandwidth";="10.24";="10.12";="9.70";="9.82";="8.64"
="Mean (age < 0)";="7.28";="7.15";="5.88";="4.03";="6.56"
="Mean (age > 0)";="7.66";="7.34";="5.92";="4.38";="6.78"
="Observations";="9,357";="9,357";="9,357";="9,357";="9,357"
="* p<0.10, ** p<0.05, *** p<0.01"
