="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)"
="Pensions";="0.128";="-0.038";="0.053";="0.541";="0.401";="0.373*"
="";="(0.392)";="(0.371)";="(0.300)";="(0.423)";="(0.328)";="(0.273)"
="Bandwidth";="9.49";="10.13";="10.05";="8.08";="7.95";="9.64"
="Mean (age < 0)";="4.45";="2.74";="2.92";="1.18";="0.49";="1.48"
="Mean (age > 0)";="4.47";="2.66";="2.96";="1.03";="0.50";="1.47"
="Observations";="9,357";="9,357";="9,357";="9,357";="9,357";="9,357"
="* p<0.10, ** p<0.05, *** p<0.01"
="Pensions";="-0.228";="-0.180";="-0.408*";="0.069";="0.369";="0.053"
="";="(0.418)";="(0.364)";="(0.301)";="(0.361)";="(0.310)";="(0.256)"
="Bandwidth";="10.11";="11.44";="10.73";="10.39";="9.71";="10.83"
="Mean (age < 0)";="4.36";="2.56";="2.77";="0.97";="0.50";="1.29"
="Mean (age > 0)";="4.33";="2.51";="2.83";="0.85";="0.51";="1.33"
="Observations";="5,182";="5,182";="5,182";="5,182";="5,182";="5,182"
="* p<0.10, ** p<0.05, *** p<0.01"
="Pensions";="1.005";="-0.044";="1.539**";="2.016**";="0.470";="1.091**"
="";="(0.749)";="(0.869)";="(0.751)";="(1.016)";="(0.768)";="(0.673)"
="Bandwidth";="7.74";="7.63";="8.92";="8.70";="6.41";="10.04"
="Mean (age < 0)";="4.57";="3.05";="3.17";="1.56";="0.47";="1.83"
="Mean (age > 0)";="4.90";="3.18";="3.35";="1.48";="0.44";="1.91"
="Observations";="4,175";="4,175";="4,175";="4,175";="4,175";="4,175"
="* p<0.10, ** p<0.05, *** p<0.01"
