="";="(1)";="(2)";="(3)";="(4)";="(5)"
="Pensions";="0.136";="-0.147";="-0.002";="-0.414";="-0.179"
="";="(0.358)";="(0.362)";="(0.474)";="(0.851)";="(0.387)"
="Bandwidth";="9.50";="9.51";="8.69";="9.62";="8.98"
="Mean (age < 0)";="6.51";="6.43";="5.26";="3.43";="5.75"
="Mean (age > 0)";="6.83";="6.58";="5.23";="3.47";="6.00"
="Observations";="1,739";="1,739";="1,739";="1,739";="1,739"
="* p<0.10, ** p<0.05, *** p<0.01"
="Pensions";="0.721**";="0.655***";="0.367";="0.376";="0.910***"
="";="(0.303)";="(0.289)";="(0.302)";="(0.484)";="(0.319)"
="Bandwidth";="9.11";="8.97";="10.34";="8.32";="9.64"
="Mean (age < 0)";="6.61";="6.48";="5.17";="3.43";="5.87"
="Mean (age > 0)";="6.99";="6.67";="5.24";="3.84";="6.12"
="Observations";="7,009";="7,009";="7,009";="7,009";="7,009"
="* p<0.10, ** p<0.05, *** p<0.01"
="Pensions";="1.003***";="0.736**";="0.256";="0.496";="1.098***"
="";="(0.391)";="(0.365)";="(0.413)";="(0.623)";="(0.435)"
="Bandwidth";="9.69";="10.00";="9.38";="9.11";="9.24"
="Mean (age < 0)";="6.56";="6.44";="5.16";="3.30";="5.84"
="Mean (age > 0)";="6.97";="6.65";="5.21";="3.75";="6.12"
="Observations";="4,339";="4,339";="4,339";="4,339";="4,339"
="* p<0.10, ** p<0.05, *** p<0.01"
="Pensions";="-0.364";="0.226";="0.172";="-0.470";="0.567"
="";="(0.471)";="(0.403)";="(0.551)";="(0.822)";="(0.464)"
="Bandwidth";="6.05";="6.96";="6.18";="5.28";="8.16"
="Mean (age < 0)";="6.74";="6.55";="5.21";="3.72";="5.95"
="Mean (age > 0)";="7.05";="6.75";="5.39";="4.07";="6.12"
="Observations";="2,670";="2,670";="2,670";="2,670";="2,670"
="* p<0.10, ** p<0.05, *** p<0.01"
