="";="(1)";="(2)";="(3)";="(4)"
="Pensions";="-1.403**";="-0.537";="-0.031";="-0.839*"
="";="(0.684)";="(0.540)";="(0.067)";="(0.509)"
="Bandwidth";="8.97";="9.69";="9.08";="9.21"
="Mean (age < 0)";="2.50";="1.64";="0.05";="0.96"
="Mean (age > 0)";="1.36";="0.77";="0.02";="0.61"
="Observations";="9,357";="9,357";="9,357";="9,357"
="* p<0.10, ** p<0.05, *** p<0.01"
="Pensions";="-0.214**";="-0.069";="-0.004";="-0.152**"
="";="(0.111)";="(0.088)";="(0.010)";="(0.088)"
="Bandwidth";="9.39";="10.00";="9.35";="9.07"
="Mean (age < 0)";="0.41";="0.26";="0.01";="0.17"
="Mean (age > 0)";="0.24";="0.14";="0.00";="0.11"
="Observations";="9,357";="9,357";="9,357";="9,357"
="* p<0.10, ** p<0.05, *** p<0.01"
