="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)"
="Pensions";="0.233";="0.157";="0.744**";="-0.003";="0.347*";="0.306"
="";="(0.231)";="(0.201)";="(0.384)";="(0.209)";="(0.242)";="(0.235)"
="Bandwidth";="7.92";="10.22";="9.82";="10.35";="9.69";="9.99"
="Mean (age < 0)";="5.29";="0.34";="1.03";="0.27";="0.22";="0.39"
="Mean (age > 0)";="5.42";="0.41";="1.05";="0.13";="0.29";="0.55"
="Observations";="9,357";="9,357";="9,357";="9,357";="9,357";="9,357"
="* p<0.10, ** p<0.05, *** p<0.01"
="Pensions";="-0.000";="-0.042";="0.197";="0.011";="0.091*";="0.015"
="";="(0.001)";="(0.111)";="(0.131)";="(0.049)";="(0.065)";="(0.126)"
="Bandwidth";="10.38";="9.87";="7.92";="9.99";="10.16";="6.88"
="Mean (age < 0)";="1.00";="0.27";="0.33";="0.06";="0.06";="0.21"
="Mean (age > 0)";="1.00";="0.32";="0.36";="0.03";="0.09";="0.26"
="Observations";="9,357";="9,357";="9,357";="9,357";="9,357";="9,357"
="* p<0.10, ** p<0.05, *** p<0.01"
