Item,Estimate,SE,Obs.
"Automobile","0.204*","(0.128)","9,357"
"Bed","-0.655**","(0.275)","9,357"
"Couch","-1.335***","(0.453)","9,357"
"Sound-system","0.135","(0.164)","9,357"
"Electric oven","0.069","(0.095)","9,357"
"Dish-washer","0.064","(0.040)","9,357"
"Shower","0.025","(0.146)","9,357"
"PC","0.010","(0.115)","9,357"
"Refrigerator","-0.007","(0.147)","9,357"
"Microwave oven","-0.018","(0.102)","9,357"
"Washing machine","-0.033","(0.113)","9,357"
"Stove","-0.041","(0.081)","9,357"
"TV","-0.063","(0.155)","9,357"
"Motorcycle","-0.063","(0.121)","9,357"
"Fan","-0.087","(0.229)","9,357"
"Water filter","-0.111","(0.103)","9,357"
"Iron","-0.169","(0.110)","9,357"
"Bicycle","-0.202","(0.125)","9,357"
"Other","-0.272","(0.187)","9,357"
"Wardrobe/cabinet","-0.303","(0.273)","9,357"
"Kitchen table","-0.492","(0.941)","9,357"
